Linux 6.8.0-90-generic (theredhothabanero) 	14.12.2025 	_x86_64_	(8 CPU)

17:38:10     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:38:48       2    2,02    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   96,97
17:38:48       3    1,52    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   97,46
17:38:48       4    0,00    0,00    0,51    0,00    0,00    0,51    0,00    0,00    0,00   98,99
17:38:48       5    2,01    0,00    0,50    0,50    0,00    0,00    0,00    0,00    0,00   96,98
17:38:48       6    2,51    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   96,48
17:38:48       7    1,52    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,48

17:38:48     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:38:50     all    1,33    0,00    0,63    0,51    0,00    0,06    0,00    0,00    0,00   97,47
17:38:50       0    0,51    0,00    0,51    0,00    0,00    0,51    0,00    0,00    0,00   98,48
17:38:50       1    1,02    0,00    0,51    0,51    0,00    0,00    0,00    0,00    0,00   97,97
17:38:50       2    0,51    0,00    0,51    2,53    0,00    0,00    0,00    0,00    0,00   96,46
17:38:50       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:38:50       4    1,02    0,00    0,51    0,51    0,00    0,00    0,00    0,00    0,00   97,97
17:38:50       5    3,05    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   95,94
17:38:50       6    2,53    0,00    1,01    0,51    0,00    0,00    0,00    0,00    0,00   95,96
17:38:50       7    2,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00

17:38:50     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:38:52     all    1,52    0,00    0,57    0,69    0,00    0,00    0,00    0,00    0,00   97,22
17:38:52       0    3,05    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   96,45
17:38:52       1    2,54    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   97,46
17:38:52       2    0,00    0,00    1,51    3,52    0,00    0,00    0,00    0,00    0,00   94,97
17:38:52       3    0,51    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,49
17:38:52       4    0,50    0,00    1,01    2,01    0,00    0,00    0,00    0,00    0,00   96,48
17:38:52       5    2,02    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   96,97
17:38:52       6    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
17:38:52       7    2,55    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   96,94

17:38:52     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:38:54     all    1,82    0,00    0,57    1,07    0,00    0,13    0,00    0,00    0,00   96,42
17:38:54       0    2,53    0,00    0,51    0,51    0,00    0,00    0,00    0,00    0,00   96,46
17:38:54       1    1,01    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   98,48
17:38:54       2    1,01    0,00    1,01    4,04    0,00    0,00    0,00    0,00    0,00   93,94
17:38:54       3    0,50    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   99,00
17:38:54       4    2,53    0,00    0,51    3,54    0,00    0,51    0,00    0,00    0,00   92,93
17:38:54       5    2,00    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   97,50
17:38:54       6    0,00    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   99,50
17:38:54       7    5,03    0,00    0,50    0,50    0,00    0,50    0,00    0,00    0,00   93,47

17:38:54     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:38:56     all    1,39    0,00    0,44    0,25    0,00    0,06    0,00    0,00    0,00   97,85
17:38:56       0    0,00    0,00    0,51    0,00    0,00    0,51    0,00    0,00    0,00   98,99
17:38:56       1    1,02    0,00    0,51    0,51    0,00    0,00    0,00    0,00    0,00   97,97
17:38:56       2    2,04    0,00    0,51    1,02    0,00    0,00    0,00    0,00    0,00   96,43
17:38:56       3    2,54    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   97,46
17:38:56       4    1,52    0,00    0,00    0,51    0,00    0,00    0,00    0,00    0,00   97,98
17:38:56       5    2,02    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   97,47
17:38:56       6    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
17:38:56       7    2,04    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   97,45

17:38:56     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:38:58     all    1,45    0,00    0,32    0,38    0,00    0,19    0,00    0,00    0,00   97,66
17:38:58       0    1,02    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   98,48
17:38:58       1    2,51    0,00    0,50    0,00    0,00    0,50    0,00    0,00    0,00   96,48
17:38:58       2    0,50    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,50
17:38:58       3    3,03    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   96,46
17:38:58       4    1,02    0,00    0,51    3,05    0,00    0,00    0,00    0,00    0,00   95,43
17:38:58       5    2,53    0,00    0,00    0,00    0,00    0,51    0,00    0,00    0,00   96,97
17:38:58       6    0,00    0,00    0,51    0,00    0,00    0,51    0,00    0,00    0,00   98,98
17:38:58       7    1,02    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,98

17:38:58     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:39:00     all    1,38    0,00    0,63    0,82    0,00    0,19    0,00    0,00    0,00   96,98
17:39:00       0    1,52    0,00    0,51    0,00    0,00    0,51    0,00    0,00    0,00   97,46
17:39:00       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:39:00       2    3,00    0,00    1,00    2,50    0,00    0,50    0,00    0,00    0,00   93,00
17:39:00       3    1,51    0,00    0,50    0,50    0,00    0,50    0,00    0,00    0,00   96,98
17:39:00       4    1,52    0,00    1,01    2,53    0,00    0,00    0,00    0,00    0,00   94,95
17:39:00       5    1,52    0,00    0,51    0,51    0,00    0,00    0,00    0,00    0,00   97,47
17:39:00       6    1,01    0,00    1,01    0,50    0,00    0,00    0,00    0,00    0,00   97,49
17:39:00       7    1,01    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   98,48

17:39:00     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:39:02     all    1,64    0,06    0,63    0,82    0,00    0,00    0,00    0,00    0,00   96,85
17:39:02       0    2,54    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   96,95
17:39:02       1    1,51    0,00    1,01    0,50    0,00    0,00    0,00    0,00    0,00   96,98
17:39:02       2    2,53    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   96,97
17:39:02       3    1,01    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   98,48
17:39:02       4    0,50    0,50    0,50    6,03    0,00    0,00    0,00    0,00    0,00   92,46
17:39:02       5    1,52    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   97,98
17:39:02       6    1,52    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,47
17:39:02       7    2,00    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   97,50

17:39:02     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:39:04     all    1,45    0,06    0,44    0,44    0,00    0,06    0,00    0,00    0,00   97,54
17:39:04       0    1,03    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,97
17:39:04       1    0,50    0,50    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
17:39:04       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:39:04       3    2,53    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   96,97
17:39:04       4    0,00    0,00    1,01    2,51    0,00    0,50    0,00    0,00    0,00   95,98
17:39:04       5    3,03    0,00    0,51    0,51    0,00    0,00    0,00    0,00    0,00   95,96
17:39:04       6    2,53    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   96,46
17:39:04       7    2,03    0,00    0,51    0,51    0,00    0,00    0,00    0,00    0,00   96,95

17:39:04     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
