procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 868328 4741804  14836 691608   24    0    24     0  506  557  0  0 100  0  0
 0  0 868328 4741836  14844 691616   18    0    18    14  366  369  0  0 100  0  0
 0  0 868328 4741836  14844 691616   10    0    10     8  234  167  0  0 99  0  0
 0  0 868328 4741836  14844 691616   24    0    24     0  743  765  1  0 99  0  0
 0  0 868328 4741836  14852 691608   18    0    18    14  501  549  1  0 99  0  0
 0  0 868328 4741836  14852 691620    2    0     2     8  282  273  0  0 100  0  0
 0  0 868328 4741612  14852 691620   32    0    32     0  189  111  0  0 100  0  0
 0  0 868328 4741612  14860 691620   74    0    74    14  226  160  0  0 100  0  0
 0  0 868328 4741612  14860 691628   66    0    66     8  382  294  0  0 99  0  0
 0  0 868328 4741612  14860 691628    0    0     0     0  202  117  0  0 100  0  0
 0  0 868328 4741612  14868 691628    2    0     2    18  295  198  0  0 99  0  0
 0  0 868328 4741612  14868 691628    0    0     0     8  286  184  0  0 100  0  0
 0  0 868328 4741612  14868 691628    0    0     0     0  173  100  0  0 100  0  0
 0  0 868328 4741360  14876 691620    0    0     0    18  187  115  0  0 100  0  0
 0  0 868328 4741360  14876 691636    0    0     0     8  172   98  0  0 100  0  0
 0  0 868328 4741360  14876 691636    0    0     0     0  173  105  0  0 100  0  0
 0  0 868328 4741360  14884 691628    0    0     0    14  166   95  0  0 100  0  0
 0  0 868328 4741360  14884 691636    0    0     0     6  181   96  0  0 100  0  0
 0  0 868328 4741392  14884 691640    6    0     6     0  187  109  0  0 100  0  0
 0  0 867304 4737612  14892 693116 3646    0  4380    14 1646 2016  1  0 98  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 867304 4737360  14892 693124  114    0   114     8  965 1141  1  0 99  0  0
 1  0 867304 4737136  14892 693128   22    0    22     0  562  590  0  0 99  0  0
